BlockLot,StreetName,HouseNum,Dir,StreetType,Zip,Neighborhood,Lawyer,Project Name,Receiver Appointed,Auction Date,x,y
1466020,BROADWAY,1639,N,,21213,BROADWAY EAST,EVAN HELFRICH,1500-1600 Broaway,"March 5, 2019",,,
1138048,BROADWAY,1420,N,,21213,OLIVER,EVAN HELFRICH,Oliver Expansion,"March 12, 2019",,,
1678012,ROBINSON,319,N,ST,21224,ELLWOOD PARK/MONUMENT,EVAN HELFRICH,,"March 26, 2019",,,
1623038,PATTERSON PK,723,N,AV,21205,MILTON-MONTFORD,EVAN HELFRICH,,"February 5, 2019",,,
1623040,PATTERSON PK,719,N,AV,21205,MILTON-MONTFORD,EVAN HELFRICH,,"May 14, 2019",,,
5180A034C,READY,5018,,AVE,21212,WINSTON-GOVANS,KENT GRASSO,,"February 26, 2019",,,
0209024,FREDERICK,1726,,AVE,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,,"July 30, 2019",,,
0209025,FREDERICK,1724,,AVE,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,,"July 30, 2019",,,
7118018,STOLL,912,,ST,21225,BROOKLYN,SHEA BEITLER-AKMAN,900 Stoll St,"November 17, 2020",,,
0327047,PENNSYLVANIA,1817,,AVE,21217,UPTON,EILEEN MURPHY,,"June 25, 2019",,,
4123A009,HARFORD,2548,,ROAD,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"April 23, 2019",,,
0014004,FULTON,1606,N,AVE,21217,SANDTOWN-WINCHESTER,SHEA BEITLER-AKMAN,,"January 22, 2019",,,
0214002,BALTIMORE,1403,W,ST,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,,"May 14, 2019",,,
0214001,BALTIMORE,1401,W,ST,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,,"May 14, 2019",,,
6288018,MOUNT PLEASANT,3434,,AVE,21224,BALTIMORE HIGHLANDS,ILYA ALTMAN,,"July 16, 2019",,,
8318001,GWYNN OAK,5100,,AVE,21207,HOWARD PARK,BLAIR GRIFFITH,,"September 10, 2019",,,
4218020,PARK HEIGHTS,7120,,AVE,21215,FALLSTAFF,BLAIR GRIFFITH,,"September 24, 2019",,,
3240003,GWYNNS FALLS,1704,,PKWY,21217,PARKVIEW/WOODBROOK,SHEA BEITLER-AKMAN,,"September 29, 2020",,,
1676066,ORLEANS,2804,,ST,21224,MCELDERRY PARK,EVAN HELFRICH,Helfrich Special,"August 27, 2019",,,
1676067,ORLEANS,2802,,ST,21224,MCELDERRY PARK,EVAN HELFRICH,Helfrich Special,"August 27, 2019",,,
5165B005,MCCABE,608,,AVE,21212,WOODBOURNE-MCCABE,KENT GRASSO,Mc Cabe,"March 12, 2019",,,
1118045,BROADWAY,1628,N,,21213,OLIVER,EVAN HELFRICH,1500-1600 Broaway,"March 12, 2019",,,
5165080,MCCABE,617,,AVE,21212,WINSTON-GOVANS,KENT GRASSO,Mc Cabe,"August 13, 2019",,,
3032032,POPLAR,2902,,TERR,21216,WALBROOK,JAMES FARLEY,,"September 24, 2019",,,
