X,Y,OBJECTID,OBJECTID_1,ID_RS_Web,BLOCKLOT,Address,DateFiled,ReceiverAppointed,DateAuction,SoldAtAuction,Neighborhood,Council_District,HousingMarketTypology2017
1434929.7666388,591949.188728482,649,928780,6164,6286 049,3621 E LOMBARD ST,2019/12/31 00:00:00+00,,,,BALTIMORE HIGHLANDS                      ,2,F
1435233.52423339,591744.678638816,650,928826,6019,6287 039,120 S EATON ST,2021/06/14 00:00:00+00,,,,BALTIMORE HIGHLANDS                      ,2,E
1434997.66545314,591733.213110566,651,928864,6914,6287 077,105 S DEAN ST,2021/04/08 00:00:00+00,,,,BALTIMORE HIGHLANDS                      ,2,E
1434433.72268339,591742.774771228,652,928999,6369,6289 061,3407 MOUNT PLEASANT AVE,2019/11/12 00:00:00+00,,,,BALTIMORE HIGHLANDS                      ,1,E
1434421.91201147,591742.989665806,653,929000,6368,6289 062,3405 MOUNT PLEASANT AVE,2019/11/12 00:00:00+00,,,,BALTIMORE HIGHLANDS                      ,1,E
1435229.74668188,591284.210071564,654,929784,6384,6303 042,236 S EATON ST,2020/01/10 00:00:00+00,,,,HIGHLANDTOWN                             ,2,E
1435233.52160873,591194.664975062,655,929791,6389,6303 049,250 S EATON ST,2019/10/10 00:00:00+00,,,,HIGHLANDTOWN                             ,2,E
1435400.57343997,591548.740054309,656,929802,6927,6304 004,207 S EATON ST,2021/06/29 00:00:00+00,,,,HIGHLANDTOWN                             ,2,F
1435557.8677448,591405.606482312,657,929819,3625,6304 021,3810 CLAREMONT ST,2015/05/06 00:00:00+00,,,,HIGHLANDTOWN                             ,2,F
1435523.5252938,590810.681162983,658,929949,5877,6311 033,307 S EATON ST,2019/02/26 00:00:00+00,,,,HIGHLANDTOWN                             ,2,E
1434771.20560423,590864.781448483,659,930079,6375,6313A041,300 S CONKLING ST,2020/01/14 00:00:00+00,,,,HIGHLANDTOWN                             ,1,E
1435572.63510372,590573.07107389,660,930195,5878,6315B028,3819 BANK ST,2019/02/13 00:00:00+00,,,,HIGHLANDTOWN                             ,2,B
1437325.4252333,591036.70925422,661,930474,5753,6323 006,310 S LEHIGH ST,2018/11/21 00:00:00+00,,,,GREEKTOWN                                ,1,B
1437325.57287081,591024.124961808,662,930475,6242,6323 007,312 S LEHIGH ST,2020/01/14 00:00:00+00,,,,GREEKTOWN                                ,1,B
