,BLOCKLOT,VAC:PROG,VAC:Neighborhood,VAC:Typology
425,0148035,1,FRANKLIN SQUARE,J
426,0273049,1,CARROLLTON RIDGE,J
427,4543A036,1,WOODMERE,I
428,0163013,1,FRANKLIN SQUARE,J
429,1448093,1,BROADWAY EAST,J
430,2303002,1,COPPIN HEIGHTS/ASH-CO-EAST,I
431,0098021,1,HARLEM PARK,J
432,3228A018,1,PARKVIEW/WOODBROOK,I
433,0097035,1,HARLEM PARK,J
434,0396031,1,UPTON,H
435,0145008,1,PENROSE/FAYETTE STREET OUTREACH,I
436,1454022,1,BROADWAY EAST,J
437,1521039A,1,BEREA,I
438,7087015,1,BROOKLYN,I
439,2400024,1,COPPIN HEIGHTS/ASH-CO-EAST,I
440,1537053,1,BROADWAY EAST,J
441,0620010,1,DOWNTOWN,Rental Market 1
442,0212026,1,UNION SQUARE,E
443,3312030,1,CENTRAL PARK HEIGHTS,J
444,0055C052,1,SANDTOWN-WINCHESTER,J
445,1570049,1,MIDDLE EAST,J
446,3312A023,1,CENTRAL PARK HEIGHTS,J
447,0064056,1,SANDTOWN-WINCHESTER,H
448,0288015,1,CARROLLTON RIDGE,J
449,7088004,1,BROOKLYN,I
450,1505039,1,BEREA,I
451,0075012,1,SANDTOWN-WINCHESTER,J
452,3826024,1,BARCLAY,G
453,4163B022,1,DARLEY PARK,J
454,2475030,1,FRANKLINTOWN ROAD,I
455,0107015,1,MIDTOWN-EDMONDSON,J
456,3228C028,1,PARKVIEW/WOODBROOK,I
457,0293059,1,SANDTOWN-WINCHESTER,J
458,0293049,1,SANDTOWN-WINCHESTER,J
459,0274006,1,CARROLLTON RIDGE,J
460,4587023,1,CENTRAL PARK HEIGHTS,I
461,3937014,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
462,3173047,1,PARK CIRCLE,I
463,2174A077K,1,SHIPLEY HILL,J
464,3405026,1,PENN NORTH,J
465,1277010,1,OLDTOWN,Subsidized Rental Market
466,4041A005,1,EAST BALTIMORE MIDWAY,J
467,1277016,1,OLDTOWN,Subsidized Rental Market
468,7271030,1,CURTIS BAY,H
469,4166045,1,DARLEY PARK,J
470,0699033,1,CARROLLTON RIDGE,J
471,4010D002,1,EAST BALTIMORE MIDWAY,J
472,1118034,1,OLIVER,I
473,0288063,1,CARROLLTON RIDGE,J
474,3197029,1,LUCILLE PARK,J
475,2171054,1,SHIPLEY HILL,J
476,4010C005,1,EAST BALTIMORE MIDWAY,J
477,0271044,1,CARROLLTON RIDGE,J
478,2475E010,1,FRANKLINTOWN ROAD,I
479,3327A024,1,PARK CIRCLE,H
480,2377A026,1,MOSHER,J
481,0055C020,1,SANDTOWN-WINCHESTER,J
482,0118079,1,MIDTOWN-EDMONDSON,J
483,2395056,1,MOSHER,I
484,1554003,1,BIDDLE STREET,J
485,1484032,1,BROADWAY EAST,J
486,4550013,1,ARLINGTON,I
487,3312A021,1,CENTRAL PARK HEIGHTS,J
488,4010B021,1,EAST BALTIMORE MIDWAY,J
489,0096072,1,HARLEM PARK,J
490,4010I005,1,EAST BALTIMORE MIDWAY,J
491,4577A006,1,CENTRAL PARK HEIGHTS,I
492,1521014,1,BEREA,I
493,1457019,1,BROADWAY EAST,J
494,0376017,1,UPTON,H
495,0169025,1,POPPLETON,I
496,1121006,1,OLIVER,H
497,4041A039,1,EAST BALTIMORE MIDWAY,J
498,2475008,1,FRANKLINTOWN ROAD,I
499,3210093,1,MONDAWMIN,J
500,3175A022,1,TOWANDA-GRANTLEY,I
501,3416017,1,PENN NORTH,I
502,2406016,1,NORTHWEST COMMUNITY ACTION,I
503,0147052,1,PENROSE/FAYETTE STREET OUTREACH,J
504,2406099,1,NORTHWEST COMMUNITY ACTION,I
505,0204009,1,BOYD-BOOTH,J
506,3312041,1,CENTRAL PARK HEIGHTS,J
507,4626A049,1,CENTRAL PARK HEIGHTS,I
508,3177011,1,PARK CIRCLE,I
509,4626A063,1,CENTRAL PARK HEIGHTS,I
510,4626A057,1,CENTRAL PARK HEIGHTS,I
511,3312019,1,CENTRAL PARK HEIGHTS,J
512,2441044,1,ROSEMONT,I
513,3004010,1,WALBROOK,H
514,4616021,1,CENTRAL PARK HEIGHTS,I
515,1520017,1,BROADWAY EAST,J
516,4616014,1,CENTRAL PARK HEIGHTS,I
517,2393063,1,WINCHESTER,I
518,0054007,1,SANDTOWN-WINCHESTER,H
519,1645082,1,ELLWOOD PARK/MONUMENT,I
520,1155093,1,JOHNSTON SQUARE,H
521,3417127,1,PENN NORTH,I
522,2173020,1,SHIPLEY HILL,J
523,3244041,1,PARKVIEW/WOODBROOK,I
524,1479021,1,BROADWAY EAST,I
525,3207002,1,MONDAWMIN,J
526,2443A012,1,WINCHESTER,I
527,2218039,1,PENROSE/FAYETTE STREET OUTREACH,J
528,2183C057,1,SHIPLEY HILL,J
529,4163B019,1,DARLEY PARK,J
530,0009007,1,SANDTOWN-WINCHESTER,I
531,3211086,1,MONDAWMIN,J
532,2385037,1,MOSHER,I
533,0066030,1,SANDTOWN-WINCHESTER,J
534,0176025,1,PENROSE/FAYETTE STREET OUTREACH,J
535,2320039,1,COPPIN HEIGHTS/ASH-CO-EAST,I
536,0009033,1,SANDTOWN-WINCHESTER,I
537,0075013,1,SANDTOWN-WINCHESTER,J
538,0121067,1,HARLEM PARK,J
539,2409A021,1,NORTHWEST COMMUNITY ACTION,I
540,0359033,1,UPTON,J
541,0177020,1,PENROSE/FAYETTE STREET OUTREACH,J
542,0288052,1,CARROLLTON RIDGE,J
543,0118056,1,MIDTOWN-EDMONDSON,J
544,1504069,1,BROADWAY EAST,J
545,3212002,1,MONDAWMIN,I
546,0055D037,1,SANDTOWN-WINCHESTER,J
547,1536090,1,BROADWAY EAST,J
548,2110021,1,MILLHILL,I
549,1624004,1,MILTON-MONTFORD,I
550,2404019,1,COPPIN HEIGHTS/ASH-CO-EAST,I
551,0036B083,1,SANDTOWN-WINCHESTER,G
552,0241038,1,CARROLLTON RIDGE,J
553,0035069,1,SANDTOWN-WINCHESTER,G
554,2382027,1,MOSHER,I
555,0050058,1,SANDTOWN-WINCHESTER,J
556,0050027,1,SANDTOWN-WINCHESTER,J
557,1573005,1,BIDDLE STREET,J
558,3177035,1,PARK CIRCLE,I
559,3177036,1,PARK CIRCLE,I
560,0347025,1,UPTON,J
561,1501029,1,BROADWAY EAST,J
562,3234015B,1,PARKVIEW/WOODBROOK,H
563,0176050,1,PENROSE/FAYETTE STREET OUTREACH,J
564,3006023,1,WALBROOK,I
565,3347011,1,GREENSPRING,I
566,0110037,1,HARLEM PARK,J
567,2408002,1,NORTHWEST COMMUNITY ACTION,H
568,0247030,1,UNION SQUARE,E
569,1476A008,1,BEREA,I
570,2409B028I,1,NORTHWEST COMMUNITY ACTION,H
571,2153059,1,PENROSE/FAYETTE STREET OUTREACH,I
572,1467031,1,BROADWAY EAST,I
573,0274103,1,CARROLLTON RIDGE,J
574,3206003,1,MONDAWMIN,J
575,2385071,1,MOSHER,I
576,0394034,1,UPTON,G
577,2406019,1,NORTHWEST COMMUNITY ACTION,I
578,0280050,1,NEW SOUTHWEST/MOUNT CLARE,I
579,2394020,1,MOSHER,I
580,2382049,1,MOSHER,I
581,2171060,1,SHIPLEY HILL,J
582,0127017,1,HARLEM PARK,I
583,3206040,1,MONDAWMIN,J
584,0065016,1,SANDTOWN-WINCHESTER,I
585,0074013,1,SANDTOWN-WINCHESTER,I
586,4626024,1,CENTRAL PARK HEIGHTS,I
587,2470043,1,FRANKLINTOWN ROAD,I
588,0008029,1,SANDTOWN-WINCHESTER,I
589,4623042,1,CENTRAL PARK HEIGHTS,I
590,0163074,1,FRANKLIN SQUARE,J
