NoticeNum,DateNotice,Shape,BLOCKLOT,NEIGHBOR,Council_District,Typology2017,OBJECTID,ESRI_OID,x,y
96535A,"November 3, 2005",,3244 030,PARKVIEW/WOODBROOK                       ,-423413016,I,828733,10135,1412041.9416796416,600781.879068315
965282A,"May 9, 2013",,2402 054,COPPIN HEIGHTS/ASH-CO-EAST               ,-423414264,I,809148,8599,1407849.4074138105,597780.4411735535
964650A,"May 22, 2013",,0276 019,NEW SOUTHWEST/MOUNT CLARE                ,-423412824,J,737927,3252,1412897.856306389,589192.7654355615
964424A,"May 17, 2013",,3012 040,WALBROOK                                 ,-423413928,H,821916,11032,1407224.2374043018,599044.7942878902
964002A,"May 3, 2013",,1338 001,JONESTOWN                                ,-423413784,Subsidized Rental Market,763763,7567,1424947.0674441308,591843.0655811429
963626A,"May 6, 2013",,3182 095,TOWANDA-GRANTLEY                         ,-423413688,J,826326,11688,1406628.7389233857,608107.4628423154
96353A,"November 3, 2005",,2230F006,CARROLL-SOUTH HILTON                     ,-537570776,H,802359,9097,1405475.043724224,590003.4744440615
963330A,"May 3, 2013",,3311 019,CENTRAL PARK HEIGHTS                     ,-537568520,J,830175,9694,1407057.2669377178,608656.2573483884
96321A,"November 3, 2005",,0242 048,CARROLLTON RIDGE                         ,-537569048,J,735607,10572,1411971.5120304674,589913.5510674715
96262A,"November 3, 2005",,0107 043,MIDTOWN-EDMONDSON                        ,-537569960,J,729015,2517,1411722.4521611333,593509.4303586483
962589A,"April 30, 2013",,3410 038,PENN NORTH                               ,-537570728,I,833837,9994,1413212.5512150526,600234.1849537343
962324A,"May 2, 2013",,3347C034,GREENSPRING                              ,-537570872,I,831505,5114,1408228.0280476362,608526.4419912249
962252A,"April 29, 2013",,1592 020,MILTON-MONTFORD                          ,-537570104,I,773577,283,1430772.729021132,595866.8944757283
96221A,"November 3, 2005",,0696 086,CARROLLTON RIDGE                         ,-537568952,J,749498,2323,1410945.16631414,588201.6945830584
96219A,"November 3, 2005",,3005 014,WALBROOK                                 ,-537570152,H,821729,6854,1407171.6672994643,598460.2659294009
96201A,"November 3, 2005",,3244 029,PARKVIEW/WOODBROOK                       ,-537568568,I,828732,6251,1412032.8383513838,600773.261303395
96200A,"November 3, 2005",,0274 030,CARROLLTON RIDGE                         ,-537568712,J,737700,1625,1412074.7903672159,588957.8754853904
961772A,"April 26, 2013",,0094 046,MIDTOWN-EDMONDSON                        ,-537569192,J,728283,3577,1411438.6633586437,593843.6373673975
96163A,"November 3, 2005",,0769 099,WASHINGTON VILLAGE/PIGTOWN               ,-537568184,F,751090,9053,1416173.7631403804,588741.1652888954
961621A,"April 26, 2013",,1655 074,MCELDERRY PARK                           ,-537568472,H,776659,1760,1430326.2738773078,594120.9163403958
96152A,"November 3, 2005",,0273 064,CARROLLTON RIDGE                         ,-537568808,J,737638,8235,1411629.838173136,589199.5547920614
96143A,"November 5, 2005",,1125 078,OLIVER                                   ,-537569768,I,760128,8359,1425752.5438515544,597977.7665663064
961406A,"April 26, 2013",,3341 030,GREENSPRING                              ,-537569624,H,831102,7917,1408374.1232278943,607327.3889431506
961069A,"April 26, 2013",,2388 032,WINCHESTER                               ,-537569480,I,808533,11902,1407144.4353985488,595330.88504906
960996A,"April 25, 2013",,0362 010,UPTON                                    ,-537570824,H,741722,9447,1416625.5476698875,596513.378418982
96051A,"November 7, 2005",,4577 026,CENTRAL PARK HEIGHTS                     ,-537567848,J,876160,12711,1403609.752835393,610955.7176444829
960208A,"April 24, 2013",,5915 005,BELAIR-EDISON                            ,-537570200,H,917657,3174,1434460.9785343856,603679.1144155562
960187A,"April 23, 2013",,0850 017,WASHINGTON VILLAGE/PIGTOWN               ,-537568328,E,752425,6752,1416666.4104490578,588750.8896788955
96011A,"November 2, 2005",,4608 046,CENTRAL PARK HEIGHTS                     ,-537568136,J,877576,12099,1404354.7031171322,610828.9475568086
960019A,"April 23, 2013",,1570 059,MIDDLE EAST                              ,-537568664,J,772671,9561,1429426.819967553,596252.9648978114
959933A,"April 24, 2013",,0204 051,BOYD-BOOTH                               ,-537570056,J,733866,8422,1410874.8052343875,590342.5840020627
95985A,"November 7, 2005",,0376 038,UPTON                                    ,-537568424,H,742122,10441,1416915.2547676414,596103.6036479771
959789A,"April 23, 2013",,5210H046,IDLEWOOD                                 ,-537569720,D,895756,7909,1429544.7032619715,620107.919156313
